woo_code,sap_code,name,city_name,state_code
CL_405,204,SANTA CRUZ,SANTA CRUZ,6
CL_406,275,SANTA JUANA,CONCEPCION,8
CL_407,177,SANTA MARIA,SAN FELIPE,5
CL_408,394,SANTIAGO,SANTIAGO,13
CL_409,161,SANTO DOMINGO,SAN ANTONIO,5
CL_410,117,SIERRA GORDA,ANTOFAGASTA,2
CL_411,411,TALAGANTE,SANTIAGO,13
CL_412,225,TALCA,TALCA,7
CL_413,272,TALCAHUANO,CONCEPCION,8
CL_414,115,TALTAL,ANTOFAGASTA,2
CL_415,311,TEMUCO,TEMUCO,9
CL_416,217,TENO,TENO,7
CL_417,329,TEODORO SCHMIDT,TEMUCO,9
CL_418,125,TIERRA AMARILLA,COPIAPO,3
CL_419,410,TIL-TIL,SANTIAGO,13
CL_420,392,TIMAUKEL,PORVENIR,12
CL_421,285,TIRUA,LEBU,8
CL_422,112,TOCOPILLA,TOCOPILLA,2
CL_423,323,TOLTEN,TEMUCO,9
CL_424,271,TOME,CONCEPCION,8
CL_425,385,TORRES DEL PAINE,PUERTO NATALES,12
CL_426,381,TORTEL,COCHRANE,11
CL_427,306,TRAIGUEN,ANGOL,9
CL_428,253,TREHUACO,CHILLAN,16
CL_429,297,TUCAPEL,LOS ANGELES,8
CL_430,332,VALDIVIA,VALDIVIA,14
CL_431,126,VALLENAR,VALLENAR,3
CL_432,151,VALPARAISO,VALPARAISO,5
CL_433,221,VICHUQUEN,CURICO,7
CL_434,308,VICTORIA,VICTORIA,9
CL_435,134,VICUÑA,COQUIMBO,4
CL_436,312,VILCUN,TEMUCO,9
CL_437,241,VILLA ALEGRE,LINARES,7
CL_438,153,VILLA ALEMANA,VILLA ALEMANA,5
CL_439,325,VILLARRICA,VILLARRICA,9
CL_440,152,VIÑA DEL MAR,VIÑA DEL MAR,5
CL_441,428,VITACURA,SANTIAGO,13
CL_442,236,YERBAS BUENAS,LINARES,7
CL_443,294,YUMBEL,LOS ANGELES,8
CL_444,261,YUNGAY,CHILLAN,16
CL_445,149,ZAPALLAR,LA LIGUA,5
